"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","20300","E","","","0"
"2009","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","13400","E","","","0"
"2010","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","14300","E","","","0"
"2011","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","29400","E","","","0"
"2012","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","32000","E","","","0"
"2013","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","26300","E","","","0"
"2014","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","22600","E","","","0"
"2015","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","20700","E","","","0"
"2016","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","28600","D","","","0"
"2017","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","25700","E","","","0"
"2018","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","22400","E","","","0"
"2019","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","27300","E","","","0"
"2020","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","21500","E","","","0"
"2021","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","26300","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666042","3.8.1.3.4","26700","C","","","0"
"2005","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2006","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2007","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2008","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2009","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2010","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2011","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2012","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2013","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2014","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","10700","E","","","0"
"2015","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2016","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","13100","E","","","0"
"2017","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","6100","E","","","0"
"2018","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","10200","D","","","0"
"2019","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","11300","E","","","0"
"2020","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","","F","","","0"
"2021","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","11100","E","","","0"
"2022","Newfoundland and Labrador","2021A000210","65 years and over","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666043","3.8.1.3.5","13700","D","","","0"
"2005","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","46200","B","","","0"
"2006","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","47700","B","","","0"
"2007","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","47800","A","","","0"
"2008","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","50800","B","","","0"
"2009","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","50300","B","","","0"
"2010","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","49400","B","","","0"
"2011","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","52100","B","","","0"
"2012","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","50300","B","","","0"
"2013","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","52500","B","","","0"
"2014","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","52900","B","","","0"
"2015","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","53600","B","","","0"
"2016","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","55500","B","","","0"
"2017","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","54100","B","","","0"
"2018","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","54700","B","","","0"
"2019","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","53500","B","","","0"
"2020","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","58600","A","","","0"
"2021","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","57600","B","","","0"
"2022","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666707","4.3.1.1.4","58800","A","","","0"
"2005","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","40700","B","","","0"
"2006","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","42300","B","","","0"
"2007","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","42500","B","","","0"
"2008","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","44200","B","","","0"
"2009","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","43300","B","","","0"
"2010","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","43200","B","","","0"
"2011","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","46000","B","","","0"
"2012","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","43000","B","","","0"
"2013","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","44900","B","","","0"
"2014","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","45100","B","","","0"
"2015","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","47100","B","","","0"
"2016","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","46300","B","","","0"
"2017","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","46800","A","","","0"
"2018","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","46200","A","","","0"
"2019","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","45400","B","","","0"
"2020","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","50000","A","","","0"
"2021","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","49600","B","","","0"
"2022","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666708","4.3.1.1.5","50300","A","","","0"
"2005","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","42700","B","","","0"
"2006","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","43800","B","","","0"
"2007","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","43300","B","","","0"
"2008","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","47000","B","","","0"
"2009","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","45800","B","","","0"
"2010","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","44100","B","","","0"
"2011","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","47300","C","","","0"
"2012","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","46700","B","","","0"
"2013","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","48400","B","","","0"
"2014","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","49700","B","","","0"
"2015","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","49600","B","","","0"
"2016","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","52500","B","","","0"
"2017","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","50200","B","","","0"
"2018","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","50500","B","","","0"
"2019","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","50300","B","","","0"
"2020","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","51600","B","","","0"
"2021","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","53500","B","","","0"
"2022","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666717","4.3.1.3.4","55100","A","","","0"
"2005","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","38200","B","","","0"
"2006","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","37700","B","","","0"
"2007","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","38000","B","","","0"
"2008","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","40000","B","","","0"
"2009","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","39700","B","","","0"
"2010","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","38900","B","","","0"
"2011","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","40700","B","","","0"
"2012","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","38300","B","","","0"
"2013","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","40100","B","","","0"
"2014","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","41600","B","","","0"
"2015","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","44100","B","","","0"
"2016","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","43100","B","","","0"
"2017","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","44800","B","","","0"
"2018","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","42200","B","","","0"
"2019","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","42200","B","","","0"
"2020","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","43800","B","","","0"
"2021","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","46900","B","","","0"
"2022","Prince Edward Island","2021A000211","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666718","4.3.1.3.5","47300","A","","","0"
"2005","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","44100","C","","","0"
"2006","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","43100","C","","","0"
"2007","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","41600","C","","","0"
"2008","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","45100","C","","","0"
"2009","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","40600","C","","","0"
"2010","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","42300","C","","","0"
"2011","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","46300","D","","","0"
"2012","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","43600","C","","","0"
"2013","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","41500","C","","","0"
"2014","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","42100","C","","","0"
"2015","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","44300","C","","","0"
"2016","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","46300","C","","","0"
"2017","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","46200","C","","","0"
"2018","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","44200","C","","","0"
"2019","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","43400","C","","","0"
"2020","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","49200","B","","","0"
"2021","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","54200","B","","","0"
"2022","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666932","4.4.1.1.4","50400","B","","","0"
"2005","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","37500","C","","","0"
"2006","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","36900","B","","","0"
"2007","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","38200","C","","","0"
"2008","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","39600","C","","","0"
"2009","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","39200","C","","","0"
"2010","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","38800","C","","","0"
"2011","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","42400","C","","","0"
"2012","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","39300","C","","","0"
"2013","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","37000","C","","","0"
"2014","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","38800","C","","","0"
"2015","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","37300","C","","","0"
"2016","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","41300","C","","","0"
"2017","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","39700","C","","","0"
"2018","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","38300","C","","","0"
"2019","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","38800","C","","","0"
"2020","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","45200","B","","","0"
"2021","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","49300","C","","","0"
"2022","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666933","4.4.1.1.5","45100","B","","","0"
"2005","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","40200","D","","","0"
"2006","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","38700","C","","","0"
"2007","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","36300","C","","","0"
"2008","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","39400","C","","","0"
"2009","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","34300","D","","","0"
"2010","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","34300","D","","","0"
"2011","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","39600","D","","","0"
"2012","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","40200","C","","","0"
"2013","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","36700","C","","","0"
"2014","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","39000","C","","","0"
"2015","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","40300","C","","","0"
"2016","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","40600","C","","","0"
"2017","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","41800","C","","","0"
"2018","Prince Edward Island","2021A000211","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666942","4.4.1.3.4","39900","C","","","0"
